,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
2037-05-01,578330.1724843715,474107.5472892123,334279.4310041939,825494.6709867149,556894.2997542564,953079.0497044116,718202.7202958885,369070.622651158,676998.1946841929,447178.2842040971
2037-06-01,592417.6428949779,446166.98807431076,330624.65723878815,851989.4914325601,559183.3118089512,990028.1953890848,710959.5345719507,364927.658633383,711613.1953949482,453778.25141972734
2037-07-01,588368.9017771557,428863.787380456,324349.1534596747,847558.2750967089,571928.6435099399,1013882.2518592579,686693.3436199198,364956.7111352061,705353.3037737558,466134.36350792664
2037-08-01,575518.5392722397,406084.613318672,317220.0188167443,858409.537079476,577000.8411899888,1025007.5190829939,671360.9116460904,368696.8367735358,704738.1408494256,458953.8368915875
2037-09-01,575111.371487872,384565.9000656498,311612.035170213,889812.5002257942,585950.568836975,1001598.1298796361,665103.9528943743,385114.14257416007,692098.4796744196,451229.70918169076
2037-10-01,553841.8055423391,372539.4240204246,312122.62194591825,894516.3013190827,584935.2307812342,992747.255011294,693225.6541851467,398359.5551208493,646346.4900977899,436360.1904933884
2037-11-01,537952.4623797028,357566.80392083776,308340.75729512965,908748.849492532,586501.4927737231,956223.8252765401,697394.0031028298,398944.6104479335,640337.4551901342,431194.1460670608
2037-12-01,524966.7365954058,346265.31873582536,309905.2554278994,942124.913234501,590279.497951213,938037.6814873719,691959.3092582417,397272.62242935767,621874.059959359,425685.948684367
2038-01-01,518397.94021626934,347789.2437270839,312688.69836462,953762.2912655877,629948.6612878578,957731.9564574709,681076.2869417277,395457.10210100043,610324.2039911117,408657.06527279207
2038-02-01,515079.7896907221,345046.33866470616,321380.53026172967,973806.0657709648,642847.2503473706,947545.3471453446,694641.9669593223,382227.1634513085,597050.9835714878,401968.57610624697
