,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
2038-08-01,2121547.3436728246,1862169.8326838491,2573975.89063483,3555373.9696193007,1992840.5065537489,2746552.577570809,2844629.977059591,1749778.8131823444,1797343.7607761647,1523921.4254265162,2635045.7356138336,2063250.067190378,3112351.8177955197,1794026.414449221,3639463.8620841806,2425384.6161031537,3399060.5620929142,1666258.4594347712,1970451.1686931592,1905086.8709249713
2038-09-01,2133285.2741933074,1900757.499527735,2544733.642233,3611410.988850852,2027871.9606682837,2818495.686815899,2890416.6573165334,1753386.485498331,1780663.5452938476,1517840.4872813798,2636114.4473792715,2075689.2216848454,3142303.389019685,1833419.1314501613,3643082.53796985,2486730.5555453827,3399023.263204957,1638071.1625772684,1960108.8716958417,1903673.698394921
2038-10-01,2127803.1579525853,1958386.1062194405,2514462.769355145,3598422.0141756744,2028096.218940954,2881734.1313482695,2945138.517885583,1767711.7614013348,1790455.2277108615,1497451.4339462789,2608322.7318666866,2076973.6356411779,3130838.8495077756,1836498.8252184798,3661235.475869963,2541425.9357596105,3395370.320287486,1634638.4802739418,1932003.2327871108,1921871.1380356834
2038-11-01,2096045.908875735,2018883.9954794236,2486825.687787443,3568408.1932205027,2008839.4734856377,2896381.1425963053,3006930.789484456,1769051.4269711159,1776489.4804171429,1495489.9958643715,2539253.9711263794,2069422.8676287937,3122914.885771365,1826646.1971324075,3638161.193455238,2624967.584874436,3388662.0733634527,1660042.598967355,1924793.7635075634,1911013.297198669
2038-12-01,2098517.8196181995,2051668.9726110739,2476643.658313695,3583581.1930940636,1987781.9271111418,2843130.2005798263,3077124.5393117703,1767349.5843440678,1770897.1305241091,1498945.9622583126,2520068.512716032,2043601.6946045875,3139090.4552980494,1838375.025740129,3640679.0796961603,2684316.750897725,3402102.177475071,1699367.9266709434,1908912.76778336,1880206.3860809766
2039-01-01,2121151.5077199033,2064374.2958427297,2456543.0859974856,3618283.877725217,1986134.3767642456,2805489.999835524,3163981.0731411926,1795932.249296218,1771584.8495526034,1516226.1758423618,2499824.507660771,2045300.4665526485,3161608.63502695,1867242.6424487396,3642639.811325062,2761147.149333102,3401655.9649382336,1737533.9552295692,1899835.8211642613,1875056.5402161188
2039-02-01,2145860.713219682,2085095.9988312041,2442449.6944247657,3638363.960490456,2027468.1844602523,2796250.3370791594,3235181.3849986964,1833901.419317146,1797900.1722584686,1541860.9496719395,2535634.203594755,2052935.6849500504,3199574.278032857,1915911.5325860928,3716819.2506505107,2814793.25225048,3406532.289983005,1784749.2405694525,1904334.6537728908,1868711.4714445898
2039-03-01,2161185.8012972698,2073249.5179901037,2397998.308809531,3711323.766277169,2061380.2323241748,2789526.6641887366,3240918.1688483167,1838275.4349147237,1804359.5045413575,1556084.3666752812,2524835.7858567038,2058893.6278427523,3228822.386545867,1961218.047762,3757691.363265133,2884272.335175903,3451262.4572825497,1814865.5517489624,1908897.0416189048,1857854.3928296464
2039-04-01,2180198.5402049073,2059274.1929743572,2390359.405753192,3780873.7577716256,2074744.5666686222,2765882.9133047075,3238976.464462776,1838044.0539650412,1808014.9690449252,1559126.158770923,2547550.8098747977,2094388.737721217,3255635.662230228,2003121.607955402,3830416.469396236,2930276.352619692,3494719.7638708786,1861408.0345597588,1920242.3863151353,1853478.85042852
2039-05-01,2184846.893402997,2072129.9979817523,2379386.800897345,3844066.208384911,2074721.6300317904,2739295.1513244235,3231751.288317565,1851036.7937143256,1843534.4519328452,1565822.4350082316,2534896.9464993314,2130937.191158051,3239560.0097369216,2043516.913122596,3932959.8541790023,2986296.840914222,3541534.1466140333,1906613.0551696573,1919058.5811250173,1824284.839474141
2039-06-01,2218856.6270649033,2084823.464340171,2358560.530131034,3841376.283879866,2066648.3801816422,2709236.4005904114,3233659.8827619622,1851544.3720956368,1879558.212573113,1589371.9635061123,2496254.0578759196,2169269.6262238743,3258448.8631356303,2059549.9629301147,3985197.3773080916,3013082.9109599204,3543111.5896283984,1952885.0451695756,1930971.4071623425,1847976.7267462832
2039-07-01,2229387.5287638805,2087672.7412581188,2373258.084902766,3804563.877556954,2040067.5727194392,2675052.3888088996,3201029.12288019,1841051.4041960249,1904714.0282350385,1609208.9810515004,2472713.822143014,2184336.2702035634,3276447.5823685434,2048404.5443782012,4022794.6937008365,3034214.100894402,3483510.546917171,1996293.0102844862,1935385.6227654116,1869968.941153334
2039-08-01,2220577.971872992,2092953.5838766817,2410143.92489458,3757074.55629948,2039678.1953729433,2693077.43204627,3214067.448674027,1822040.7035408306,1922124.7642652444,1615373.40601127,2436549.7026869357,2185430.6554746516,3281961.1938751535,2064283.5461257796,4045149.968309169,3019107.6451343875,3410576.5115971235,2020562.3116083585,1931222.7401964206,1886628.9762754277
2039-09-01,2206962.0416587587,2107372.910556379,2468584.8115472184,3772926.6541815363,2033478.9950829938,2708975.2506114477,3267116.253599499,1817226.5944381338,1927803.1390069977,1627174.1096851204,2403403.9249149244,2194041.140138469,3304296.1596289044,2084419.994135147,4048740.548015811,3056877.9418210997,3376739.7453571125,2054498.3838555599,1955251.3716997448,1886867.1782962487
2039-10-01,2207015.273844912,2101973.72679774,2491208.3531416,3819247.5341278976,2039078.3718308404,2706596.4535324164,3371236.3599822004,1805932.5492776583,1933870.574186506,1623931.4131989423,2363537.513529068,2192977.3720258833,3279181.4246266275,2102474.751107379,4053765.797649776,3126859.9876793907,3390393.3440061263,2077809.2924813845,1927374.7740792376,1881583.6507128412
2039-11-01,2201769.3791921902,2059203.3205525978,2536248.598191799,3845809.816576013,2054322.2137533966,2715041.8523900122,3439438.0549880234,1801524.2037188124,1941408.282435267,1607868.0201320455,2326960.706358177,2182208.1141244015,3239227.573100661,2101886.023572096,4045641.4772372954,3231404.792209717,3404173.6308473772,2082899.2681474993,1920096.2038989814,1854090.8445868958
2039-12-01,2200310.977298394,2038492.8908485675,2560641.4095336064,3905051.3100463445,2070986.6114282385,2687782.884898247,3438892.5823587254,1787844.4228998723,1921131.4997509734,1589670.3463482817,2324788.6265127864,2203440.240489066,3228818.269101244,2103724.6112198965,4071585.2383805057,3269813.9493250214,3435453.7650526585,2091935.9211876045,1927203.924729744,1832329.4979034208
2040-01-01,2214622.0607088474,2029783.8788356585,2626443.283525769,3928091.0438856385,2088225.3364963715,2719358.541591796,3472177.2962349276,1800775.7670782816,1905665.329367754,1576871.622922164,2346396.097499601,2273361.049251233,3229330.908928636,2118630.4774932633,4134358.134778988,3337027.3745407583,3427386.7008256908,2080909.2689081067,1954727.5235335082,1831375.463069626
